i,tweet,countnoun,countverb,countadj,countadp,countadv,countnum,countaux,countconj,countdet,countintj,countpart,countpron,countpropn,countpunct,countsconj,countx,sentiment_polarity
356,modi wapas ayega ghar ghar bhagwa chaega jai shri ram jai shri ram puralia west bengal mamata scared repressing hinduism biting hard,15,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2916666666666667
357,2014 3 70 2018 4 69 4 jharkhandbolemodimodi,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0
358,bathong ba modimomixwell ke sefane sa tota yhu ha thought got started djing coz mixed,6,3,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0.0
359,sure burger king real meals real hoax either way doubly offensive workers spatula writers 1 commodifying depression combine profit motive depression two things struggle 2 ramadan mock reli,11,5,5,0,3,3,0,0,1,0,0,0,0,0,0,0,0.22499999999999998
360,electionalert promised 10 crore jobs jobs according parliament report reduced unemployment west bengal 40per cent challenge pm narendramodi debate indias history papers teleprompters mamataofficial,14,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
361,sabsabadajhootamodi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
362,cibil cibil_official rt narendramodi drrizwanahmed1 sardanarohit,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
363,kejriwalchewtiyahai arvindkejriwal msisodia modihiaayega delhiwithmodi,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
364,soon modi shared india todays article corrupt rajiv misusing ins virat updated dont worry aroonpurie ss old article,9,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.2
365,rahulgandhi sabsebadajhoothamodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
366,5 pm narendramodi,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
367,pm narendramodi today lauded india today tv reporter manogyaloiwal bengal courage loksabhaelections2019,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
368,million car electric dream spurs smoggy poland grasp musk polands 1 million car goal unrealistic execu,9,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,-0.5
369,2pac said bring climax without sex type love need,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5
370,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
371,oneplus7pro maharshiday deshkishaanmodi blockbustermaharshi aitheyaasong hbdsaipallavi maharanapratap,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
372,swara surgical strikes swara incindia supporter swara aamaadmiparty supporter swara deshdrohi supporter swara truth supporter justmodi,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
373,cammodisane effsouthafrica worried regarded spoilt ballot,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
374,modi wave journo nahi hai people removing chairs accommodate people stand journo,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
375,2019 21 deshkishaanmodi,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
376,modihiaayega 2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
377,sir aapke 7 saansado ne pichle 5 saal delhi kya kia modi abey wo chhodo kaam ki baat suno mai tumhe batata hu rajiv gandhi ne kya kya kia,18,6,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0.0
378,kanimozhi keralacastro anilindian kuvalayamala hkupdate girishalva chathootti prafullaketkar excomradekerala prof_hariom ranganaathan jspandey_ savesabrimala ensine sagenaradamuni maheshjoshi_mj jsaideepak advmonikaarora shefvaidya sgu,14,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0
379,bjp tv narendramodi anubhavshukla09 rssorg amitshah myogiadityanath yadavakhilesh,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
380,seriously narendramodi trashing nangafying chinese gandhis abusing powers abusing navy using navy ship like private taxi rajivg take foreigner laws board takes foreigners aboard navy ships shameful,13,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,-0.1111111111111111
381,modi ji discovered time machine almost hes fighting 1989 general election amp rajiv gandhi principal rival oh 19,9,3,2,0,1,2,0,0,0,1,0,1,0,0,0,0,0.05000000000000002
382,photo server_podivan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
383,one rare videos modi modi supplemented jai shri ram,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3
384,phirekbaarmodisarkar modiagainsaysindia modihiaayega modihaikaamdar loksabhaelections2019 narendramodi modiwave,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
385,narendramodi campaigning top eiffel tower france indians hear modi modi chants deshkishaanmodi,5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5
386,kal ko modi ji ko vadnagar jaana ho toh wo rafale mein baith ke ja sakte hain,9,2,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0.0
387,rahul gandhi welcome debate modi learns speak truths incur consequence retraction amp repeated unconditional apologies supreme court given concoctions amp heat moment juxtaposition borrow apology,16,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8
388,swara aunty rape politicise surgicalstrikes politicise sonam aunty role deshkishaanmodi aayegatohmodihi payalrohatgi,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
389,narendramodi modi wapas ayega ghar ghar bhagwa chaega jai shri ram jai shri ram puralia west bengal mamataofficial scared,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
390,ins ins sabsebadajhootamodi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
391,m4sopmodii_ opening box getting ok,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5
392,ayegatohmodihi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
393,narendramodi modihiaayega bjp4delhi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
394,renukajain6 laxit_parsana narendramodi strong feeling gargoyles andromeda galaxy conspiring get modi defeated intense bhakti save us,9,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31666666666666665
395,assumed pretty much everyone slept jace matter time sleep,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.225
396,stop looking loser ugly eyes deserve see give everything want look step 1 use bratprincess get 20 vice chasity step 2 send 100 step 3 obey find lockedinlust,11,11,1,0,0,5,0,0,0,0,0,0,0,0,0,0,-0.7
397,digvijaya_28 reply sadhvipragya_mp deshkishaanmodi,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
398,modihiaayega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
399,gs smt priyankagandhi gave modi ultimate challenge fight last two phases lok sabha elections demonetisation gst crime women amp false promises made nation youth,14,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.13333333333333336
400,instead punishing guilty 1984 riots congress rewards pm modi via nam,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.5
401,wont narendramodi make election real issues achievements wont talk demonetisation claimed desh cos failed miserably election agenda defame leaders desh ka sabsabadajhootamodi,10,6,2,0,3,0,2,0,0,1,0,0,0,0,0,0,-0.43333333333333335
402,idatexell om agenda2030 p mlartinget2019 om vi ska lyckas med agenda 2030 behver alla engagera sig det r en laginsats och vi behver ha modiga ledare globalatrender hllbarhetsmlen,9,3,5,2,0,1,0,0,1,0,0,0,2,0,0,5,0.0
403,amitshah bjp4up fortunate enough pm like modi deshkishaanmodi,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2
404,7 8 jharkhandbolemodimodi,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
405,watch pm modi purulia mujhe bataya gaya hai ki yahan didi ne kahan hai ki woh modi ko thapad maarna chahti hain didi mamata didi mein toh aapko didi kehta hun aapka aadar karta hun aapka thapad bhi mere liye ashirwaad ban jaayega woh bhi khalunga,26,2,4,1,1,0,0,0,1,0,0,0,1,1,0,9,-0.5
406,phirekbaarmodisarkar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
407,narendramodi govts strategic plan helped open 5 000 janaushadhikendras amp deliver 1 000 medicines less half market price strategic push resulted estimated savings rs 1 000 crores public namo,12,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,-0.08333333333333333
408,mr modi fool people time retd vice admiral vinod pasricha busted pm modi fakery rajiv gandhi saying allegations modi totally false amp fabricated sabsebadajhootamodi,15,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.20000000000000004
409,exclusive hindustan paper corporation salaries unpaid 2 years employees approach nhrc modi govt read,8,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
410,retd vice admiral lambasts pmmodi ins viraat allegation claims rajivgandhi official visit sabsebadajhootamodi,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
411,explosive ex fauji rips congress delusional surgicalstrike theory apart shame congress bigger shame ex pm sonia stooge dr manmohan singh blot chair pm world largest democracy congressneveragain deshkishaanmodi,15,1,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0.0
412,modi overrated politician,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
413,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
414,shamelessly modi lying rajiv gandhi pathological liar whatever going win indian people never accept insulting departed people modi going lose time sabsebadajhootamodi,7,5,7,0,2,0,0,0,1,0,0,0,0,0,0,0,-0.09999999999999998
415,nehru rajiv gandhi modi spreading misinformation vice admiral retd vinod parischa sets record straight rajiv jis travel aboard ins viraat exposes modis lies shame pms post sabsebadajhootamodi,19,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2
416,70 years incindia gt 5 years bjp4india 5 years modi 100 times gt 5 years congress,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0
417,sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
418,anti hindu omarabdullah nc approaches jkhc seeks withdrawal amendment article370 gave 10 reservation economically weaker hindus jammu govt jobs amp education hc issues notices union govt j amp k govt narendramodi govt amended 370 feb 2019,16,5,6,1,1,3,0,0,0,0,0,0,1,0,0,2,0.3
419,modi mamataofficial laddus stored laddu moditohgaya,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
420,modi habitual liar lies daily basis 9 10 statements false sabsebadajhootamodi,4,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.20000000000000004
421,oneplus7pro maharanapratap thursdaythoughts deshkishaanmodi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
422,huge crowd gathered beat narendra modi reports madhuparna_et,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4000000000000001
423,pawankhera exposes lies pm modi sabsebadajhootamodi,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
424,narendramodi deshkishaanmodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
425,modi editor newspaper first thing would checked date trust anything man sabsebadajhootamodi,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
426,finally voted phase 2 loksabha modihaitohmumkinhai modiagainsaysindia everyvoteformodi indiabolemodidobara modihiaayega narendramodi amitshah bjp4maharashtra dev_fadnavis neel_apte deepvalesha1,8,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.0
427,24 80 deshkishaanmodi,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
428,congress airforce modi went balakot thanks airforce modi taking credit r,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
429,habitual lier includes marital status amp degree certificate sabsebadajhootamodi,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
430,sabsebadajhootamodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
431,lies lies lies modi makes perfect square sabsabadajhootamodi,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
432,anti modi gang still spreading canard bjp best get 220 230 hence govt formati,4,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1.0
433,none promises made modi ji delivered hide failures amp divert peoples attention failures modi ji stoops new low sabsebadajhootamodi,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06818181818181818
434,live vice admiral vinod pasricha retd said lie prime minister official visit wasnt holiday facts dont matter mr narendramodi incindias pawankhera addresses media electionswithnews18 pmrajivjibe,15,5,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0.13636363636363635
435,cnnnews18 narendramodi gvlnrao resources used self aggrandisment pr bill 1000s crore kon tera baap bharega kya,11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
436,narendramodi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
437,easy goamining dependents drawing income particular industry shift another industry else would man owning mining truck operate trucks would shop owner go mining belt narendramodi nstomar nitiaayog goacm,16,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.3
438,let remind disgusting mha modi 22nd march 2015 month delhi government formation mha issued notification remove delhi governments control acb services amp department direct impact common citizen delhi,16,5,4,0,2,1,0,0,0,0,0,0,0,0,0,0,-0.39999999999999997
439,deshkishaanmodi modihiaayega narendramodi amitshah,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
440,bjp4india rss narendramodi vijayanpinarayi cpimspeak cpimkerala cpimlliberation kerala hub anti hindu,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
441,one lie pm modi nailed sabsebadajhootamodi,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
442,sabsabadajhootamodi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
443,someone media saying ppl angry modi throwing chairs ppl throwing away mamata rule,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.5
444,pradip103 baaki sab badme pehle yeh bata dijiye winning amethi,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
445,inctelangana truth 1988 article deshkishaanmodi,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
446,modi targets dead leaders sifydotcom cartoon,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
447,watch live shri amitshah addressing public meeting balrampur uttar pradesh deshkishaanmodi,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06818181818181818
448,ani use insult advantage one must learn modi sample mamata slap modi modi aap didi hain apka aadar karta hu take blessing congress modi rajiv corrupt congress aise kaise bola,19,3,5,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.5
449,gkpabhishek piyushgoyaloffc yadavakhilesh narendramodi bilkul milega 23 ko btw lallantop dekhne se accha kuc,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.0
450,explained modi coward sabsebadajhootamodi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
451,modi ji high court cleared former pm rajiv gandhi charges bofors case 2004 bjp govt 2018 govt supreme court dismissed appeal regarding bofors cared truth sabsebadajhootamodi,15,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0.08
452,iyc keshavyadaviyc srinivasiyc satyajeettambe riarevealed milinddeora sabsebadajhootamodi,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
453,medal best liar narendramodi get gold platinum shameless modi,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
454,sabsebadajhootamodi shameful see modi bhakt rahulkanwal shares lies chela w,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
455,narendramodi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
456,dear pm narendramodi abrogation article35a article370 become absolutely necessary farooqabdullah_ omarabdullah ghulamnazad amp mehboobamufti already converted kashmir syria 35a amp 370 repealed help convert jmu ladakh also,13,3,5,0,4,1,0,0,2,0,0,0,0,0,0,0,0.0
457,diversidade de saberes oxignio para uma universidade de excelncia sociedade que nos financia precisa esta,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
458,nofake voici mon beaufrre flic au congo qui patrouille dans un lourd 4x4 pour garder le pays en situation pacifie par tout les moyens jug adequats le mec opine que pour calmer le neuf trois il faut juste des toyota avec des parebuffle et moins de droits de l homme,21,3,9,2,2,0,0,0,0,0,0,0,0,0,0,12,0.0
459,rajivgandhi used ins viraat private taxi pm narendramodi picks story media archive dug twitter user dprarohana whose handle stands shadow banned,14,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
460,narendramodi 10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
461,landmark judgement set precedent builders harass homebuyers anymore slapping defamation case whn cornered bcoz thr non performance amp cheating hatsoff shilpithard bravepedestrian pls act dev_fadnavis narendramodi agnt mplodha,21,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0
462,jokeoftheday jaayegatohmodihi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
463,exclusive remember pm modis pet project ro ro ro pax ferry services suspended month inauguration,7,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0
464,yeah like 31 indian voters selecting modi pm,3,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0.0
465,rss moditohgaya jayegatomodihi abhoganyay,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
466,l sabsebadajhootamodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
467,l bjp4india bjpsamvaddelhi pmoindia narendramodi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
468,bjp4india toss ka boss one n modi,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
469,deshkishaanmodi thursdaythoughts earlier used muslim crowd like eid bakrid even bigger gathering modi rallies listen muslims varanasi case doubt modi represents hindu population india,14,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0
470,seriousfunnyguy renmishra narendramodi sad see dat humanity left world person continuously wrk betterment india ppl bcam selfish n see nearby development dey get personal gain hats nar,13,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.25
471,cry baby modi 23rd may sabsebadajhootamodi,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
472,sabsebadajhootamodi changed meaning lying,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
473,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
474,exclusive parliamentary committee 16 bjp mps murali manohar joshi blames modi govt compromising indias safety amp security says defence preparedness level unacceptable situation ominous read,14,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
475,modi challenge cartoon amarujalanews,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
476,rti response reveals bjp paid rates low rs 744 trip prime minister made january dear india tax money spent modi luxury trips instead development feel,11,6,5,0,1,1,0,0,0,0,0,0,1,0,0,0,-0.05
477,tmc 130 deshkishaanmodi,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
478,across india young people coming large numbers vote nyay older experienced voters understood powerful idea modi ji time time change come abhoganyay,11,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3161904761904762
479,vickyaarya007 narendramodi rahulgandhi incindia incindialive priyankagandhi rssurjewala yadavakhilesh,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
480,incindia sabsebadajhootamodi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
481,ramlila maidan delhi aamaadmiparty incindia deshkishaanmodi,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
482,loksabhaelections mamata insulting constitution accepting pm mamatabanerjee narendramodi,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
483,dear governor mikesonko state health facilities nairobi leaking amp dilapidated building water logged rooms danger leaking roof live electric power water medical commodities store soaked estherpassaris babu_owino moh_kenya whokenya,19,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06818181818181818
484,30 40 deshkishaanmodi,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
485,bebein annesi doum srasnda lnce ailesi tarafndan kalbi balanm siyah tirtl adama dikkat kalbi alan kii len annenin kalbini tayan adama bebein tepkisi inanlmaz,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
486,pmmodionabp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
487,exclusive election indias turning point pmmodi via namo app,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
488,pm lying ins viraat incident check bachchan case doubt wajahat habibullah sabsebadajhootamodi,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
489,3 narendramodi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
490,modiporter robinson amp madeonshelter,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
491,niamor2019 jeromedesudie davduf giletsjaunesgo tropical_boy bopealouis modigliani690 enmodemacaron atheepratiquant collcartonjaune babar_le_rhino razoor777 ccastaner ah oui c est la classe vegas,10,1,2,0,0,2,0,0,0,2,0,0,1,0,0,2,0.0
492,____ phirekbaarmodisarkaar patliputrakalalramkripal shasaknahisewak,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0.0
493,pmmodionabp deshkishaanmodi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
494,rahulgandhi loan waiver 2 days kamal nath loan waiver possible 10 days modihiaayega,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0
495,narendramodi manogyaloiwal deshkishaanmodi youth chanting jai shri ram front mamataofficials house kalighat west bengal way go,6,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
496,age 47 rajiv gandhi blown hundred pieces sl terrorist age 47 modi clicking pictures outside white house travelling abroad rss money amp roo baroo hounding amp abusing rajiv modi amp paid trolls committed unpardonable sin,18,7,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0.0
497,yourgalneha amitmalviya let sink tajinderbagga amitmalviya shefvaidya vivekagnihotri rishibagree mvmeet jhasanjay anupampkher aiyshwaryam lambaalka reallyswara haftawasooli sarcasticrofl modiledubega nehr_who t_d_h_nair sanju,11,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
498,9 phirekbarmodisarkar gambhirforeastdelhi,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
499,ashikismyname yourgalneha amitmalviya tajinderbagga shefvaidya vivekagnihotri rishibagree mvmeet jhasanjay anupampkher aiyshwaryam lambaalka reallyswara haftawasooli sarcasticrofl modiledubega nehr_who t_d_h_nair sanjukta realhistorypi,11,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
500,narendramodi rajnathsingh ___,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
501,modi needs explain made lady never election lies education amp repeatedly spread fake news powerful cabinet minister,9,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.1
502,vajpayee used take son law shimla holidays indian airforce aircraft modi used iaf choppers go photo shoot locations amp partys programs world wide wherever pm president travels military provides family convoy needless controversy,21,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,-0.2333333333333333
503,jharkhandbolemodimodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
504,sweetu0901 ranjeet60928395 siya2902 sahilvikas33 maltiupadhyay1 asha__gupta somdutt64541034 bluee_bl00d modified_sher drvarun3 anuragtamrakar6 badepapapart2 aaryavrat2 mmastarji _baisaraj jyoti_saffron iavadesh raj_sri rajdevj1 agrwalr,9,4,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0.0
505,exclusive election indias turning point pmmodi,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
506,pm modi ins sabsabadajhootamodi,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
507,stym0o dhruv_rathee chirufollower rahul gandhi called modi chor gaali allegation without proof modi responded kind reminded rahul gandhi disgraced father looted bofors kickbacks using uncle ottavio qua,15,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0.6
508,chouhanshivraj chouhanshivraj deshkishaanmodi,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
509,dont forget unnav dont forget unemployed youth dont forget farmers suicide dont forget farmers attacked sabsebadajhootamodi,6,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0
510,modihiaayega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
511,modijahanvikaswahan continuous efforts modi govt dreams children education jobs youth,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
512,dear delhi parents vote wisely tv bhakti modi give bright future children government party like aap side parents time private schools try loot name exorbitant fees hike vote wisely,15,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0.41999999999999993
513,narendramodi nayay,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
514,50 narendramodi 300 400 amitshah ramlal phirekbaarmodisarkar hardilmeimodi harboothparmodi,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
515,1 ayegatomodihi jai shri ram,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
516,ashokepandit cal kashmiri pandith ur language become cheap oh modivirus,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.4
517,prime minister narendra modi hold 5 rallies today 3 azamgarh jaunpur amp prayagraj uttar pradesh 2 bankura amp parulia west bengal file pic,15,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0
518,yeh kya se kya ho gaya dekhte dekhte modi ji toh haar ke darr se pura bhokla gaye hain,8,3,2,0,1,0,0,0,0,2,0,0,0,0,0,3,0.0
519,manojtiwarimp modihiaayega,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
520,_ pm modi interview aaj tak campaign purulia,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
521,deshkishaanmodi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
522,hmoindia pmoindia awasthis kapilmishra_ind modifiedvikas tajinderbagga drhvoffice pmoindia sardanarohit,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
523,narendramodi fairly inaccurate surprising article 1988 relating pms holiday wherein accused using naval ships taxi surfaced soon narendramodi called chor 31 year old report full inaccuracies,10,5,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0.4625
524,muck modi utters going land face time never lets lies win truth always triumphs sabsebadajhootamodi,8,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.8
525,2014 narendramodi modihiaayega namowithharyana bjp4sirsa bjp4hisar mlkhattar subhashbrala subhashbrala sunitaduggal7 brijendraspeaks,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
526,15 649 7 3 jharkhandbolemodimodi,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0
527,nothing mr modi bjp trying hide failures abject acceptance surrender defeat knowing internal reports booth reports 5 phases dramsinghvi sabsebadajhootamodi,12,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
528,narendramodi pmmodionabp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
529,reallyswara epic response man approached selfie airport take video heard saying aayega modi hi,5,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1
530,narendramodi ready debate sir,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
531,retd vice admiral lambasts pm modi ins viraat allegation former pm shri rajiv gandhi mr gandhi official visit sabsebadajhootamodi,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
